name,district,role,party,n
Bryan Hughes,SD-001,Sen,R,276
Judith Zaffirini,SD-021,Sen,D,275
Tan Parker,SD-012,Sen,R,261
Mayes Middleton,SD-011,Sen,R,260
Jose Menendez,SD-026,Sen,D,251
Bob Hall,SD-002,Sen,R,249
Royce West,SD-023,Sen,D,247
Sarah Eckhardt,SD-014,Sen,D,224
Paul Bettencourt,SD-007,Sen,R,199
Molly Cook,SD-015,Sen,D,192
Nathan Johnson,SD-016,Sen,D,189
Lois Kolkhorst,SD-018,Sen,R,185
Charles Perry,SD-028,Sen,R,183
Borris Miles,SD-013,Sen,D,175
Charles Creighton,SD-004,Sen,R,173
Cesar Blanco,SD-029,Sen,D,170
Juan Hinojosa,SD-020,Sen,D,167
Brent Hagenbuch,SD-030,Sen,R,161
Angela Paxton,SD-008,Sen,R,156
Carol Alvarado,SD-006,Sen,D,153
Adam Hinojosa,SD-027,Sen,R,148
Kevin Sparks,SD-031,Sen,R,146
Peter Flores,SD-024,Sen,R,137
Donna Campbell,SD-025,Sen,R,123
Charles Schwertner,SD-005,Sen,R,120
Brian Birdwell,SD-022,Sen,R,112
Joan Huffman,SD-017,Sen,R,109
Kelly Hancock,SD-009,Sen,R,103
Roland Gutierrez,SD-019,Sen,D,94
Robert Nichols,SD-003,Sen,R,77
